,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
0,englewood,,2016-03-11 19:20:09,0,0,Man killed in West Englewood shooting https://t.co/p0ZDVSB8xu
1,englewood,,2016-03-11 19:17:25,0,0,@realDonaldTrump welcome to Chicago! Be sure to check out the beautiful historic neighborhoods of oak lawn and Englewood while you're here!
2,englewood,,2016-03-11 18:48:11,0,1,RT @ChicagoDailyNew: #Breaking Man wounded in West Englewood shooting https://t.co/bdCvbB1iBV
3,englewood,,2016-03-11 17:45:39,0,1,RT @_rdjenkins: Barbershop at the Library interesting program for the kids in Englewood neighborhood of Chicago https://t.co/Ol5tRlcpGW
4,englewood,,2016-03-11 17:45:13,1,1,Barbershop at the Library interesting program for the kids in Englewood neighborhood of Chicago https://t.co/Ol5tRlcpGW
5,englewood,,2016-03-11 17:41:23,0,0,Man killed in West Englewood shooting https://t.co/vBXCFN5f27
6,englewood,,2016-03-11 17:36:31,0,3,RT @ChicagoBreaking: Man wounded in West Englewood shooting https://t.co/vOYxMc3l6F
7,englewood,,2016-03-11 17:16:24,0,0,#chicago #news Man killed in West Englewood shooting - A 26-year-old man was fatally wounded Friday morning in ... https://t.co/JXWcH7YDWz
8,englewood,,2016-03-11 17:09:07,0,0,Man killed in West Englewood shooting https://t.co/vlDxJxfLNh
9,englewood,,2016-03-11 16:58:18,0,0,Man killed in West Englewood shooting - Chicago Tribune: Chicago TribuneMan killed in West Englewood shootingC... https://t.co/CoLbdXxOiW
10,englewood,,2016-03-11 16:54:15,0,0,Man killed in West Englewood shooting https://t.co/ibPoyFElnY
11,englewood,"{'type': 'Point', 'coordinates': [-87.66115998, 41.78729154]}",2016-03-11 16:41:38,1,0,"S/o my nigga Harry..... #Life 🙌🙌🙌 @ Chicago (Englewood neighborhood), Illinois https://t.co/TpthadGi6Y"
12,englewood,,2016-03-11 16:40:07,0,0,Man wounded in West Englewood shooting: A 26-year-old man was wounded Friday morning in a shooting in the city's… https://t.co/IAUd2bJJdh
13,englewood,,2016-03-11 16:34:16,1,1,#Breaking Man wounded in West Englewood shooting https://t.co/bdCvbB1iBV
14,englewood,,2016-03-11 16:34:16,1,0,Man wounded in West Englewood shooting https://t.co/KLo3sZADS1 #chicago
15,englewood,,2016-03-11 16:26:12,0,0,Man wounded in West Englewood shooting: A 26-year-old man was wounded Friday morning in a shooting… https://t.co/oLcLfbVxG8 #Chicago #News
16,englewood,,2016-03-11 16:26:11,0,3,RT @ChicagoBreaking: Man wounded in West Englewood shooting https://t.co/vOYxMc3l6F
17,englewood,,2016-03-11 16:25:20,0,3,RT @ChicagoBreaking: Man wounded in West Englewood shooting https://t.co/vOYxMc3l6F
18,englewood,,2016-03-11 16:25:01,0,3,Man wounded in West Englewood shooting https://t.co/vOYxMc3l6F
19,englewood,,2016-03-11 16:22:09,0,0,Man wounded in West Englewood shooting: A 26-year-old man was wounded Friday morning in a shooting in the city's… https://t.co/Eq3nZZp9cQ
20,englewood,,2016-03-11 12:54:07,0,0,"Englewood comeback   Great news for Chicago, ""my city."""
21,englewood,,2016-03-11 08:32:31,0,1,RT @AndreaVWatson12: Hmm..Here's my story which was published the day before  @kathychaney @Mario_Demiuex https://t.co/n9usOaCPJ3  https://…
22,englewood,,2016-03-11 08:08:08,0,1,Hmm..Here's my story which was published the day before  @kathychaney @Mario_Demiuex https://t.co/n9usOaCPJ3  https://t.co/TzEWsAWwP1
23,englewood,,2016-03-11 05:28:13,1,0,"Bitch, you created your own Blood set in Chicago called Englewood Dyke Families. Dont let Facebook get you fucked up https://t.co/H2KiDrSVBq"
24,englewood,,2016-03-11 05:01:25,0,5,RT @jeansvaljeans: insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MV…
25,englewood,,2016-03-11 05:01:10,0,5,RT @jeansvaljeans: insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MV…
26,englewood,,2016-03-11 04:58:08,0,2,RT @SCFJobs: We're always thrilled to connect talent to great careers like @StepITUpAmerica @AndreaVWatson12 https://t.co/dnMopZrpDy @DNAin…
