,Community Area Mentioned,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Tweet Latitude,Tweet Longitude,sentiment
0,englewood,2016-03-12 06:44:37,0,0,"😎 @ Chicago (Englewood neighborhood), Illinois https://t.co/LJ5J0yp5zd",-87.66115998,41.78729154,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,englewood,2016-03-11 21:44:27,0,0,🃏🃏🃏 #watchthekid @ Streets Of Englewood https://t.co/7FWXTsd9pe,-87.64513733,41.79094389,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,englewood,2016-03-11 16:41:38,1,0,"S/o my nigga Harry..... #Life 🙌🙌🙌 @ Chicago (Englewood neighborhood), Illinois https://t.co/TpthadGi6Y",-87.66115998,41.78729154,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,englewood,2016-03-10 23:07:12,0,0,"This #job might be a great fit for you: Biomedical Technician I - Ross Dialysis - Englewood - https://t.co/gavbjnxZOI #Chicago, IL #Hiring",-87.62979820000001,41.8781136,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.765}"
4,englewood,2016-03-10 16:17:34,0,0,"See our latest #Chicago, IL #job and click to apply: Dialysis Patient Care Technician - Englewood - Chicago, IL - https://t.co/9ZvmuJu76N",-87.62979820000001,41.8781136,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4939}"
5,englewood,2016-03-08 21:48:02,0,0,"@writingtoatee I saw that but Chicago also has englewood and pilsen, im sure he would be welcome with open arms 😊",-87.6638541,41.9043757,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.7876}"
6,englewood,2016-03-08 01:03:19,0,0,In the kitchen cooking wit the wrist motion @ Englewood Southside https://t.co/dQD5zYjmRJ,-87.63727757,41.78535165,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,englewood,2016-03-07 20:38:03,0,0,🐭🐭🐭🐭🐭🐭🐭🐭🐭🐭🐭 @ Streets Of Englewood https://t.co/Kc7ZWEOvsF,-87.64513733,41.79094389,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,englewood,2016-03-07 20:05:38,0,0,"Fresenius Medical Care #Job: Hemodialysis Registered Nurse - Englewood - Chicago, IL (#Chicago, IL) https://t.co/mFXWHmsMto #dialysis #Jobs",-87.62979820000001,41.8781136,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}"
9,englewood,2016-03-06 21:24:18,0,0,"Om baby doe 
Ain't got Shit for nobody who ain't nun for me @ Englewood Southside https://t.co/KKuKD7Odho",-87.63727757,41.78535165,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.4449}"
10,englewood,2016-03-06 16:13:40,0,0,#GreatinEnglewood in Action...How do I spend my Sunday morning?… https://t.co/CXuMk9SPU2,-87.6927338,41.77941129999999,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,englewood,2016-03-05 23:21:36,0,0,Isn't she a beauty....#GreatInEnglewood #2016WomanoftheYear @… https://t.co/tTqYIhaiuH,-87.7415771,41.7398186,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,englewood,2016-03-05 23:10:18,0,0,Words cannot describe the gratitude I felt being awarded… https://t.co/QGX9YCw3Fa,-87.7415771,41.7398186,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4023}"
13,englewood,2016-03-05 22:56:40,1,2,#2016WomanoftheYear honored by #zetaphibeta! #humbled #grateful @… https://t.co/OvOVeYYYLP,-87.7415771,41.7398186,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6239}"
14,englewood,2016-03-05 18:30:20,0,0,💯✋ @ Englewood Southside https://t.co/KJoDkmMrvs,-87.63727757,41.78535165,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,englewood,2016-03-05 18:23:48,0,0,2nd stop - 3rd Annual Finer Womanhood Luncheon - Excited!… https://t.co/547LQtyu9J,-87.7415771,41.7398186,"{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.3595}"
16,englewood,2016-03-03 21:46:44,0,0,Thank you #GOD for allowing me to speak to our youth @ EXCEL ACADEMY OF ENGLEWOOD. A great group… https://t.co/M4m5xKHTpP,-87.6490292,41.763867600000005,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.8842}"
17,englewood,2016-03-03 06:44:21,0,0,Just posted a photo @ Englewood Southside https://t.co/NsrhzQrKgx,-87.63727757,41.78535165,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,englewood,2016-03-03 06:30:44,0,0,Just posted a photo @ Englewood Southside https://t.co/VXWn2cxABA,-87.63727757,41.78535165,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
