,Unnamed: 0,Community Area Mentioned,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Tweet Latitude,Tweet Longitude,sentiment,Compound
0,0,englewood,2016-03-12 14:21:01,0.0,0.0,"Chicago (IL) WLS: 1 dead, 1 critical after police standoff in Englewood, police say",0.0,0.0,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.765}",-0.765
1,1,englewood,2016-03-12 14:16:23,0.0,0.0,@realDonaldTrump too bad #Chicago treated you so well.  You should also check out #Englewood while you are there.,0.0,0.0,"{'neg': 0.157, 'neu': 0.719, 'pos': 0.123, 'compound': -0.1923}",-0.1923
2,2,englewood,2016-03-12 13:33:11,1.0,0.0,"Chicago #realestate 7330 S Wood St, Chicago, IL 60636, $25,000: Vacant lot in Chicago, IL - West Englewood https://t.co/v0bOF3eEu6",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3,3,englewood,2016-03-12 13:33:11,0.0,0.0,"Chicago #realestate 7159 S Wood St, Chicago, IL 60636, $12,000: Vacant lot in Chicago, IL - West Englewood https://t.co/Sbgs21JseL",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,4,englewood,2016-03-12 13:21:13,0.0,0.0,In the near future englewood is gonna be the most peaceful community in Chicago,0.0,0.0,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.5413}",0.5413
5,5,englewood,2016-03-12 12:58:04,0.0,0.0,My week here in Englewood and Chicago in general has changed a great part of me in every aspect of my life. God knows I'll miss these kids.,0.0,0.0,"{'neg': 0.05, 'neu': 0.755, 'pos': 0.195, 'compound': 0.6808}",0.6808
6,6,englewood,2016-03-12 12:48:02,0.0,0.0,"1 dead, 1 critical after police standoff in Englewood, police say: One person is dead and another is ... https://t.co/rR5N2eOHqv #Chicago",0.0,0.0,"{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.8979}",-0.8979
7,7,englewood,2016-03-12 12:47:07,0.0,0.0,"1 dead, 1 critical after police standoff in Englewood, police say: One person is dead and another is… https://t.co/EptydTQY2h #Chicago #News",0.0,0.0,"{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.8979}",-0.8979
8,8,englewood,2016-03-12 12:33:06,0.0,0.0,"1 dead, 1 critical after police standoff in Englewood, police say https://t.co/psFZlhaUNk",0.0,0.0,"{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.765}",-0.765
9,9,englewood,2016-03-12 10:32:10,0.0,0.0,Man shot in Englewood - https://t.co/yFow1SlocL,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
10,10,englewood,2016-03-12 10:32:09,0.0,0.0,Man shot in Englewood https://t.co/P5SjSDrdbN,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
11,11,englewood,2016-03-12 10:32:09,0.0,0.0,Man shot in Englewood - https://t.co/1FrqKYJSNU,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
12,12,englewood,2016-03-12 10:03:51,0.0,0.0,Man shot in Englewood https://t.co/gVNKI0yo64,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
13,13,englewood,2016-03-12 06:44:37,0.0,0.0,"😎 @ Chicago (Englewood neighborhood), Illinois https://t.co/LJ5J0yp5zd",-87.66115998,41.78729154,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
14,14,englewood,2016-03-12 05:39:34,0.0,0.0,"Englewood Candle-maker's Specialty Scents Include Pina Colada, Pound Cake via @DNAinfoCHI https://t.co/D4U2LzYbGK",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
15,15,englewood,2016-03-12 05:25:14,0.0,0.0,"Englewood, Austin, and Garfield Park are by far the deadliest neighborhoods in #Chicago. In 2014, these saw 118 #homicides!",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
16,16,englewood,2016-03-12 04:57:53,0.0,0.0,@samanthajacobs The same people protesting against Trump will be shooting each other in Englewood tonight - Chicago is blue and violent,0.0,0.0,"{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.7717}",-0.7717
17,17,englewood,2016-03-12 04:53:39,0.0,1.0,RT @littlelevin: #Chicago Why don't they march on Austin or how bout Englewood or even South Lawndale ? Do they even know what their marchi…,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
18,18,englewood,2016-03-12 04:51:12,2.0,1.0,#Chicago Why don't they march on Austin or how bout Englewood or even South Lawndale ? Do they even know what their marching for,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
19,19,englewood,2016-03-12 04:39:09,0.0,0.0,"@LightskinJesuSP &gt;englewood
&gt;chicago

look, if you're going to be a fucking drag on white society, at least know the neighborhoods",0.0,0.0,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.2944}",-0.2944
