,Community Area Number,COMMUNITY AREA NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,Total Negative Tweet Sentiment,Total Number of Negative Tweets,Total Number of Positive Tweets,Total Number of Positive and Negative Tweets,Total Positive Tweet Sentiment,Average Negative Sentiment,Average Positive Sentiment,Unweighted Reputation Score,Weighted Reputation Score
60,1.0,rogers park,7.7,23.6,8.7,18.2,27.5,23939,39.0,-8.3172,25.0,168.0,193.0,92.845,-0.332688,0.5526488095238096,0.1099804047619048,-0.18513186507936508
74,2.0,west ridge,7.8,17.2,8.8,20.8,38.5,23040,46.0,-4.830499999999999,7.0,24.0,31.0,14.478000000000005,-0.6900714285714284,0.6032500000000002,-0.043410714285714136,-0.474517857142857
66,3.0,uptown,3.8,24.0,8.9,11.8,22.2,35787,20.0,-57.6967,147.0,236.0,383.0,95.48099999999998,-0.3924945578231293,0.40458050847457616,0.006042975325723454,-0.2596487134401783
39,4.0,lincoln square,3.4,10.9,8.2,13.4,25.5,37524,17.0,-2.3563,7.0,157.0,164.0,88.35599999999994,-0.3366142857142857,0.5627770700636938,0.11308139217470405,-0.18671572641795575
51,5.0,north center,0.3,7.5,5.2,4.5,26.2,57123,6.0,-10.4607,21.0,40.0,61.0,18.5448,-0.4981285714285714,0.46362,-0.017254285714285694,-0.3378371428571428
37,6.0,lake view,1.1,11.4,4.7,2.6,17.0,60058,5.0,-6.675,15.0,28.0,43.0,16.256299999999996,-0.445,0.5805821428571427,0.06779107142857135,-0.2740696428571429
38,7.0,lincoln park,0.8,12.3,5.1,3.6,21.5,71551,2.0,-94.75759999999985,182.0,582.0,764.0,310.29699999999974,-0.5206461538461531,0.5331563573883157,0.006255101771081295,-0.3450124019737416
47,8.0,near north side,1.9,12.9,7.0,2.5,22.6,88669,1.0,-0.802,1.0,16.0,17.0,7.857199999999999,-0.802,0.4910749999999999,-0.15546250000000006,-0.5864874999999999
22,9.0,edison park,1.1,3.3,6.5,7.4,35.3,40959,8.0,-0.5958,2.0,17.0,19.0,8.7805,-0.2979,0.5165,0.10929999999999998,-0.16216666666666668
54,10.0,norwood park,2.0,5.4,9.0,11.5,39.5,32875,21.0,-7.754600000000003,21.0,7.0,28.0,4.141700000000001,-0.3692666666666668,0.5916714285714287,0.11120238095238097,-0.2091103174603176
35,11.0,jefferson park,2.7,8.6,12.4,13.4,35.5,27751,25.0,-24.5815,49.0,20.0,69.0,10.493,-0.5016632653061224,0.5246500000000001,0.011493367346938843,-0.3306110544217687
24,12.0,forest glen,1.1,7.5,6.8,4.9,40.5,44164,11.0,-0.5574,1.0,1.0,2.0,0.9058,-0.5574,0.9058,0.17420000000000002,-0.3135333333333333
