Community Area Mentioned,Sum Negative Tweet Sentiment,Sum Positive Tweet Sentiment,Total Number of Negative Tweets,Total Number of Positive Tweets,Total Number of Positive and Negative Tweets,Average Negative Sentiment,Average Positive Sentiment,Unweighted Reputation Score,Weighted Reputation Score
albany park,-5.6676,9.764599999999998,16,18,34,-0.354225,0.5424777777777776,0.0941263888888888,-0.20477453703703707
archer heights,0.0,0.5574,0,1,1,0.0,0.5574,0.0,0.0
ashburn,-10.630300000000002,5.518800000000001,28,15,43,-0.3796535714285715,0.36792,-0.005866785714285727,-0.2550579761904762
auburn gresham,-5.9133000000000004,1.1233,17,2,19,-0.34784117647058826,0.56165,0.10690441176470586,-0.19625931372549021
austin,-14.128699999999995,18.5554,34,36,70,-0.41554999999999986,0.5154277777777777,0.04993888888888892,-0.2603870370370369
avalon park,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
avondale,-7.206200000000002,7.627,18,15,33,-0.40034444444444456,0.5084666666666666,0.05406111111111103,-0.24887592592592603
belmont cragin,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
beverly,-35.3824,174.62879999999976,115,344,459,-0.30767304347826085,0.5076418604651156,0.09998440849342738,-0.17178722615436479
bridgeport,-16.191899999999997,44.05889999999996,36,87,123,-0.4497749999999999,0.506424137931034,0.02832456896551705,-0.29040847701149425
brighton park,-0.5216,2.0168999999999997,1,3,4,-0.5216,0.6722999999999999,0.07534999999999997,-0.3226166666666666
burnside,-3.4787,1.1148,5,2,7,-0.69574,0.5574,-0.06917000000000001,-0.48688333333333333
chatham,-72.74019999999997,14.622399999999999,114,27,141,-0.6380719298245612,0.5415703703703704,-0.048250779727095405,-0.4414648797920726
chicago lawn,-7.2072,5.905800000000003,12,19,31,-0.6006,0.31083157894736857,-0.14488421052631573,-0.44869473684210526
clearing,-33.54260000000003,61.526899999999905,65,131,196,-0.5160400000000004,0.46967099236641147,-0.02318450381679446,-0.35175483460559837
douglas,-44.9209,152.1377999999998,87,264,351,-0.516332183908046,0.5762795454545447,0.029973680773249356,-0.3342302290142809
dunning,-8.8078,22.174299999999988,21,65,86,-0.41941904761904764,0.3411430769230767,-0.03913798534798546,-0.29265869352869356
east garfield park,-159.65280000000033,5.543700000000001,287,11,298,-0.5562815331010464,0.5039727272727273,-0.026154402914159547,-0.3795724897054174
east side,-9.896799999999999,23.01070000000001,24,45,69,-0.4123666666666666,0.5113488888888891,0.049491111111111236,-0.25841407407407396
edgewater,-15.711699999999995,37.0392,42,74,116,-0.3740880952380951,0.5005297297297298,0.06322081724581732,-0.22831845774345763
edison park,-0.5958,8.7805,2,17,19,-0.2979,0.5165,0.10929999999999998,-0.16216666666666668
englewood,-178.21839999999986,119.30519999999981,362,238,600,-0.49231602209944714,0.5012823529411757,0.004483165420864299,-0.32671629292601007
forest glen,-0.5574,0.9058,1,1,2,-0.5574,0.9058,0.17420000000000002,-0.3135333333333333
fuller park,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
gage park,-0.3818,2.5715000000000003,1,4,5,-0.3818,0.6428750000000001,0.13053750000000006,-0.2110208333333333
garfield ridge,-25.90850000000001,2.9174,40,5,45,-0.6477125000000002,0.58348,-0.032116250000000124,-0.44251375000000026
grand boulevard,0.0,4.77,0,10,10,0.0,0.477,0.0,0.0
greater grand crossing,0.0,8.159999999999998,0,12,12,0.0,0.6799999999999998,0.0,0.0
hegewisch,0.0,0.5106,0,1,1,0.0,0.5106,0.0,0.0
hermosa,-10.658299999999997,24.399099999999997,22,58,80,-0.4844681818181817,0.4206741379310344,-0.031897021943573634,-0.33361112852664565
humboldt park,-27.270800000000033,22.341299999999997,126,45,171,-0.2164349206349209,0.49647333333333327,0.14001920634920617,-0.09761687830687853
hyde park,-79.15960000000007,124.00349999999985,122,239,361,-0.6488491803278694,0.518843096234309,-0.0650030420467802,-0.4542338009008397
irving park,-8.356700000000002,9.907900000000001,23,21,44,-0.3633347826086957,0.47180476190476195,0.05423498964803311,-0.22414485852311947
jefferson park,-24.5815,10.493,49,20,69,-0.5016632653061224,0.5246500000000001,0.011493367346938843,-0.3306110544217687
kenwood,-43.72009999999999,67.50589999999993,106,150,256,-0.41245377358490554,0.45003933333333285,0.018792779874213655,-0.26870492243186583
lake view,-6.675,16.256299999999996,15,28,43,-0.445,0.5805821428571427,0.06779107142857135,-0.2740696428571429
lincoln park,-94.75759999999985,310.29699999999974,182,582,764,-0.5206461538461531,0.5331563573883157,0.006255101771081295,-0.34501240197374156
lincoln square,-2.3563,88.35599999999994,7,157,164,-0.3366142857142857,0.5627770700636938,0.11308139217470406,-0.18671572641795578
logan square,-24.9594,74.00589999999993,60,161,221,-0.41598999999999997,0.45966397515527907,0.02183698757763955,-0.27004767080745345
loop,-155.84480000000067,330.75170000000026,407,677,1084,-0.38291105651105817,0.4885549483013298,0.05282194589513581,-0.23766672237566014
lower west side,-0.29600000000000004,0.5093,1,1,2,-0.29600000000000004,0.5093,0.10664999999999997,-0.16178333333333336
mckinley park,-0.5053,0.5106,1,1,2,-0.5053,0.5106,0.002650000000000041,-0.3359833333333333
montclaire,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
morgan park,-36.59629999999995,108.69029999999978,103,200,303,-0.35530388349514513,0.5434514999999989,0.09407380825242687,-0.2055113195792878
mount greenwood,-15.667200000000003,6.575800000000001,25,14,39,-0.6266880000000001,0.46970000000000006,-0.07849400000000004,-0.4439566666666668
near north side,-0.802,7.857199999999999,1,16,17,-0.802,0.49107499999999993,-0.15546250000000006,-0.5864874999999999
near south side,0.0,3.9044000000000008,0,8,8,0.0,0.4880500000000001,0.0,0.0
near west side,-4.9914000000000005,12.858099999999997,19,29,48,-0.2627052631578948,0.44338275862068954,0.09033874773139738,-0.1450239261947974
new city,-68.2217999999999,106.16509999999965,120,224,344,-0.5685149999999992,0.47395133928571276,-0.04728183035714323,-0.3947706101190472
north center,-10.4607,18.5448,21,40,61,-0.49812857142857137,0.46362,-0.017254285714285694,-0.3378371428571428
north lawndale,-54.111199999999926,57.0526999999999,112,101,213,-0.4831357142857136,0.5648782178217812,0.04087125176803377,-0.30846672560113114
north park,-14.529099999999996,38.28560000000003,36,74,110,-0.403586111111111,0.5173729729729734,0.05689343093093119,-0.2500929304304303
norwood park,-7.754600000000003,4.141700000000001,21,7,28,-0.3692666666666668,0.5916714285714287,0.11120238095238097,-0.20911031746031758
o'hare,-0.4466,2.5444,1,5,6,-0.4466,0.50888,0.03114,-0.28735333333333335
oakland,-18.7194,6.159400000000001,32,22,54,-0.58498125,0.2799727272727273,-0.15250426136363635,-0.4408222537878788
portage park,-10.4311,15.3506,19,25,44,-0.5490052631578948,0.614024,0.03250936842105262,-0.35516705263157894
